2020-09-19 11:03:40.337  INFO 8112 --- [main] e.p.s.d.SpringbootDockerBasisApplication : Starting SpringbootDockerBasisApplication on developer1997 with PID 8112 (C:\develop\workspace\springboot-docker-basis\build\classes\java\main started by pasudo123 in C:\develop\workspace\springboot-docker-basis)
2020-09-19 11:03:40.340  INFO 8112 --- [main] e.p.s.d.SpringbootDockerBasisApplication : No active profile set, falling back to default profiles: default
2020-09-19 11:03:40.938  INFO 8112 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8080 (http)
2020-09-19 11:03:40.944  INFO 8112 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2020-09-19 11:03:40.945  INFO 8112 --- [main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.37]
2020-09-19 11:03:41.013  INFO 8112 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2020-09-19 11:03:41.014  INFO 8112 --- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 638 ms
2020-09-19 11:03:41.120  INFO 8112 --- [main] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2020-09-19 11:03:41.227  INFO 8112 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8080 (http) with context path ''
2020-09-19 11:03:41.235  INFO 8112 --- [main] e.p.s.d.SpringbootDockerBasisApplication : Started SpringbootDockerBasisApplication in 1.198 seconds (JVM running for 1.799)
2020-09-19 11:03:59.452  INFO 8112 --- [http-nio-8080-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-09-19 11:03:59.452  INFO 8112 --- [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2020-09-19 11:03:59.455  INFO 8112 --- [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 3 ms
2020-09-19 11:03:59.470  INFO 8112 --- [http-nio-8080-exec-1] e.p.study.docker.index.IndexService      : 1 x 1 = 1
2020-09-19 11:03:59.471  INFO 8112 --- [http-nio-8080-exec-1] e.p.study.docker.index.IndexService      : 1 x 2 = 2
2020-09-19 11:03:59.471  INFO 8112 --- [http-nio-8080-exec-1] e.p.study.docker.index.IndexService      : 1 x 3 = 3
2020-09-19 11:03:59.471  INFO 8112 --- [http-nio-8080-exec-1] e.p.study.docker.index.IndexService      : 1 x 4 = 4
2020-09-19 11:03:59.471  INFO 8112 --- [http-nio-8080-exec-1] e.p.study.docker.index.IndexService      : 1 x 5 = 5
2020-09-19 11:03:59.471  INFO 8112 --- [http-nio-8080-exec-1] e.p.study.docker.index.IndexService      : 1 x 6 = 6
2020-09-19 11:03:59.471  INFO 8112 --- [http-nio-8080-exec-1] e.p.study.docker.index.IndexService      : 1 x 7 = 7
2020-09-19 11:03:59.471  INFO 8112 --- [http-nio-8080-exec-1] e.p.study.docker.index.IndexService      : 1 x 8 = 8
2020-09-19 11:03:59.471  INFO 8112 --- [http-nio-8080-exec-1] e.p.study.docker.index.IndexService      : 1 x 9 = 9
2020-09-19 11:03:59.471  INFO 8112 --- [http-nio-8080-exec-1] e.p.study.docker.index.IndexService      : 2 x 1 = 2
2020-09-19 11:03:59.471  INFO 8112 --- [http-nio-8080-exec-1] e.p.study.docker.index.IndexService      : 2 x 2 = 4
2020-09-19 11:03:59.472  INFO 8112 --- [http-nio-8080-exec-1] e.p.study.docker.index.IndexService      : 2 x 3 = 6
2020-09-19 11:03:59.472  INFO 8112 --- [http-nio-8080-exec-1] e.p.study.docker.index.IndexService      : 2 x 4 = 8
2020-09-19 11:03:59.472  INFO 8112 --- [http-nio-8080-exec-1] e.p.study.docker.index.IndexService      : 2 x 5 = 10
2020-09-19 11:03:59.472  INFO 8112 --- [http-nio-8080-exec-1] e.p.study.docker.index.IndexService      : 2 x 6 = 12
2020-09-19 11:03:59.472  INFO 8112 --- [http-nio-8080-exec-1] e.p.study.docker.index.IndexService      : 2 x 7 = 14
2020-09-19 11:03:59.472  INFO 8112 --- [http-nio-8080-exec-1] e.p.study.docker.index.IndexService      : 2 x 8 = 16
2020-09-19 11:03:59.472  INFO 8112 --- [http-nio-8080-exec-1] e.p.study.docker.index.IndexService      : 2 x 9 = 18
2020-09-19 11:03:59.472  INFO 8112 --- [http-nio-8080-exec-1] e.p.study.docker.index.IndexService      : 3 x 1 = 3
2020-09-19 11:03:59.472  INFO 8112 --- [http-nio-8080-exec-1] e.p.study.docker.index.IndexService      : 3 x 2 = 6
2020-09-19 11:03:59.472  INFO 8112 --- [http-nio-8080-exec-1] e.p.study.docker.index.IndexService      : 3 x 3 = 9
2020-09-19 11:03:59.472  INFO 8112 --- [http-nio-8080-exec-1] e.p.study.docker.index.IndexService      : 3 x 4 = 12
2020-09-19 11:03:59.472  INFO 8112 --- [http-nio-8080-exec-1] e.p.study.docker.index.IndexService      : 3 x 5 = 15
2020-09-19 11:03:59.472  INFO 8112 --- [http-nio-8080-exec-1] e.p.study.docker.index.IndexService      : 3 x 6 = 18
2020-09-19 11:03:59.472  INFO 8112 --- [http-nio-8080-exec-1] e.p.study.docker.index.IndexService      : 3 x 7 = 21
2020-09-19 11:03:59.473  INFO 8112 --- [http-nio-8080-exec-1] e.p.study.docker.index.IndexService      : 3 x 8 = 24
2020-09-19 11:03:59.473  INFO 8112 --- [http-nio-8080-exec-1] e.p.study.docker.index.IndexService      : 3 x 9 = 27
2020-09-19 11:03:59.473  INFO 8112 --- [http-nio-8080-exec-1] e.p.study.docker.index.IndexService      : 4 x 1 = 4
2020-09-19 11:03:59.473  INFO 8112 --- [http-nio-8080-exec-1] e.p.study.docker.index.IndexService      : 4 x 2 = 8
2020-09-19 11:03:59.473  INFO 8112 --- [http-nio-8080-exec-1] e.p.study.docker.index.IndexService      : 4 x 3 = 12
2020-09-19 11:03:59.473  INFO 8112 --- [http-nio-8080-exec-1] e.p.study.docker.index.IndexService      : 4 x 4 = 16
2020-09-19 11:03:59.473  INFO 8112 --- [http-nio-8080-exec-1] e.p.study.docker.index.IndexService      : 4 x 5 = 20
2020-09-19 11:03:59.473  INFO 8112 --- [http-nio-8080-exec-1] e.p.study.docker.index.IndexService      : 4 x 6 = 24
2020-09-19 11:03:59.473  INFO 8112 --- [http-nio-8080-exec-1] e.p.study.docker.index.IndexService      : 4 x 7 = 28
2020-09-19 11:03:59.473  INFO 8112 --- [http-nio-8080-exec-1] e.p.study.docker.index.IndexService      : 4 x 8 = 32
2020-09-19 11:03:59.473  INFO 8112 --- [http-nio-8080-exec-1] e.p.study.docker.index.IndexService      : 4 x 9 = 36
